OS,Runtime,Arch,Method,Iteration,ElapsedMs,PayloadBytes,ObjectCount
macOS,net8.0,arm64,Xml_Deserialize,32,1.793610,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,33,1.799821,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,34,1.817262,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,35,1.807996,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,36,1.820313,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,37,1.801310,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,38,1.783464,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,39,1.805815,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,40,1.809860,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,41,1.815861,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,42,1.803918,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,43,1.814858,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,44,1.793508,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,45,1.819439,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,46,1.807739,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,47,1.812247,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,48,1.807025,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,49,1.805950,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,50,1.813326,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,51,1.801896,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,52,1.811103,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,53,1.798758,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,54,1.796721,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,55,1.800596,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,56,1.869252,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,57,1.809538,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,58,1.817047,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,59,1.803184,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,60,1.807402,1183515,400
macOS,net8.0,arm64,Protobuf_Serialize,1,0.501687,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,2,0.490118,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,3,0.486049,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,4,0.497180,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,5,0.486777,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,6,0.487800,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,7,0.482113,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,8,0.484634,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,9,0.482718,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,10,0.484335,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,11,0.483411,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,12,0.486320,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,13,0.484777,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,14,0.487518,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,15,0.483355,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,16,0.492268,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,17,0.483801,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,18,0.486010,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,19,0.483859,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,20,0.484580,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,21,0.486603,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,22,0.487423,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,23,0.485788,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,24,0.480724,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,25,0.485404,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,26,0.485101,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,27,0.487694,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,28,0.485114,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,29,0.489683,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,30,0.485029,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,31,0.486083,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,32,0.478732,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,33,0.482828,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,34,0.478105,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,35,0.481462,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,36,0.474666,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,37,0.475495,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,38,0.476219,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,39,0.476669,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,40,0.474283,936161,400
